Date,Weekly Henry Hub Natural Gas Spot Price (Dollars per Million Btu),LNG 160K CBM Spot Rate
24-Dec-10,4.09,"58,000"
31-Dec-10,4.16,"75,000"
7-Jan-11,4.52,"75,500"
14-Jan-11,4.46,"70,000"
21-Jan-11,4.57,"70,500"
28-Jan-11,4.45,"67,500"
4-Feb-11,4.51,"68,000"
11-Feb-11,4.17,"67,500"
18-Feb-11,3.9,"68,000"
25-Feb-11,3.84,"67,500"
4-Mar-11,3.82,"68,000"
11-Mar-11,3.8,"67,500"
18-Mar-11,3.88,"85,000"
25-Mar-11,4.12,"95,000"
1-Apr-11,4.3,"100,000"
8-Apr-11,4.15,"101,000"
15-Apr-11,4.12,"100,000"
22-Apr-11,4.27,"100,500"
29-Apr-11,4.39,"100,000"
6-May-11,4.5,"100,600"
13-May-11,4.18,"100,000"
20-May-11,4.15,"100,500"
27-May-11,4.35,"100,000"
3-Jun-11,4.65,"100,500"
10-Jun-11,4.83,"100,000"
17-Jun-11,4.56,"100,500"
24-Jun-11,4.33,"100,000"
1-Jul-11,4.32,"100,500"
8-Jul-11,4.3,"100,000"
15-Jul-11,4.41,"100,500"
22-Jul-11,4.58,"95,000"
29-Jul-11,4.4,"95,500"
5-Aug-11,4.21,"95,000"
12-Aug-11,4.08,"95,500"
19-Aug-11,4.01,"95,000"
26-Aug-11,4.01,"97,500"
2-Sep-11,4.01,"100,000"
9-Sep-11,3.96,"105,000"
16-Sep-11,3.95,"110,000"
23-Sep-11,3.77,"115,000"
30-Sep-11,3.81,"115,500"
7-Oct-11,3.53,"120,000"
14-Oct-11,3.48,"120,500"
21-Oct-11,3.62,"120,000"
28-Oct-11,3.62,"120,500"
4-Nov-11,3.47,"120,000"
11-Nov-11,3.42,"120,500"
18-Nov-11,3.1,"120,000"
25-Nov-11,2.92,"120,500"
2-Dec-11,3.37,"135,000"
9-Dec-11,3.39,"140,000"
16-Dec-11,3.08,"140,500"
23-Dec-11,3.04,"135,000"
30-Dec-11,3.04,"135,500"
6-Jan-12,2.92,"140,000"
13-Jan-12,2.81,"140,500"
20-Jan-12,2.4,"140,000"
27-Jan-12,2.57,"140,500"
3-Feb-12,2.45,"140,000"
10-Feb-12,2.51,"135,000"
17-Feb-12,2.52,"130,000"
24-Feb-12,2.63,"130,500"
2-Mar-12,2.45,"125,000"
9-Mar-12,2.26,"125,500"
16-Mar-12,2.11,"125,000"
23-Mar-12,2.16,"125,500"
30-Mar-12,2.06,"130,000"
6-Apr-12,1.97,"130,500"
13-Apr-12,1.93,"125,000"
20-Apr-12,1.86,"125,500"
27-Apr-12,2,"125,000"
4-May-12,2.26,"130,000"
11-May-12,2.33,"130,500"
18-May-12,2.49,"120,000"
25-May-12,2.59,"130,000"
1-Jun-12,2.37,"130,500"
8-Jun-12,2.33,"130,000"
